"s_info_compname"	"s_info_windcode"	"s_info_name"	"id"
"龙竹科技集团股份有限公司"	"831445.BJ"	"龙竹科技"	"6913"
"长春市朱老六食品股份有限公司"	"831726.BJ"	"朱老六"	"6914"
"珠海拾比佰彩图板股份有限公司"	"831768.BJ"	"拾比佰"	"6915"
"明光浩淼安防科技股份公司"	"831856.BJ"	"浩淼科技"	"6916"
"创远信科(上海)技术股份有限公司"	"831961.BJ"	"创远仪器"	"6917"
"安徽凤凰滤清器股份有限公司"	"832000.BJ"	"安徽凤凰"	"6918"
"漯河利通液压科技股份有限公司"	"832225.BJ"	"利通科技"	"6919"
"江苏鹿得医疗电子股份有限公司"	"832278.BJ"	"鹿得医疗"	"6920"
"观典防务技术股份有限公司"	"832317.BJ"	"观典防务(退市)"	"6921"
"四川梓橦宫药业股份有限公司"	"832566.BJ"	"梓橦宫"	"6922"
"江苏德源药业股份有限公司"	"832735.BJ"	"德源药业"	"6923"
"桂林星辰科技股份有限公司"	"832885.BJ"	"星辰科技"	"6924"
"云南生物谷药业股份有限公司"	"833266.BJ"	"生物谷"	"6925"
"常州同惠电子股份有限公司"	"833509.BJ"	"同惠电子"	"6926"
"惠州市惠德瑞锂电科技股份有限公司"	"833523.BJ"	"德瑞锂电"	"6927"
"江苏高凯精密流体技术股份有限公司"	"A21129.SH"	"高凯技术(IPO终止)"	"6928"
"深圳光大同创新材料股份有限公司"	"A21135.SZ"	"光大同创"	"6929"
"贝隆精密科技股份有限公司"	"A21136.SZ"	"贝隆精密"	"6930"
"东莞市净诺环境科技股份有限公司"	"A21137.SZ"	"净诺科技(IPO终止)"	"6931"
"武汉联特科技股份有限公司"	"A21138.SZ"	"联特科技"	"6932"
"峰岹科技(深圳)股份有限公司"	"688279.SH"	"峰岹科技"	"6933"
"北京格灵深瞳信息技术股份有限公司"	"688207.SH"	"格灵深瞳-U"	"6934"
"上海芯龙半导体技术股份有限公司"	"A21157.SH"	"芯龙技术(IPO终止)"	"6935"
"唐山海泰新能科技股份有限公司"	"A22027.BJ"	"海泰新能"	"6936"
"杭州天铭科技股份有限公司"	"A22045.BJ"	"天铭科技"	"6937"
"中纺标检验认证股份有限公司"	"A22046.BJ"	"中纺标"	"6938"
"湖北三峰透平装备股份有限公司"	"A22058.SZ"	"三峰透平"	"6939"
"广东皇派定制家居集团股份有限公司"	"A22059.SZ"	"皇派家居"	"6940"
"绿亨科技集团股份有限公司"	"A22067.BJ"	"绿亨科技"	"6941"
"北京康比特体育科技股份有限公司"	"A22068.BJ"	"康比特"	"6942"
"广州慧智微电子股份有限公司"	"A22079.SH"	"慧智微"	"6943"
"广州芯德通信科技股份有限公司"	"A22080.SZ"	"芯德科技"	"6944"
"宁波利安科技股份有限公司"	"A22081.SZ"	"利安科技"	"6945"
"中机寰宇认证检验股份有限公司"	"A22087.SZ"	"中机认检"	"6946"
"天纺标检测认证股份有限公司"	"A22106.BJ"	"天纺标"	"6947"
"海能未来技术集团股份有限公司"	"A22117.BJ"	"海能技术"	"6948"
"矽电半导体设备(深圳)股份有限公司"	"A22118.SZ"	"矽电股份"	"6949"
"河南天马新材料股份有限公司"	"A22136.BJ"	"天马新材"	"6950"
"辽宁航安型芯科技股份有限公司"	"A22167.SZ"	"航安型芯"	"6951"
"浙江富特科技股份有限公司"	"A22168.SZ"	"富特科技"	"6952"
"苏州百胜动力机器股份有限公司"	"A22169.SZ"	"百胜动力"	"6953"
"深圳市首航新能源股份有限公司"	"A22170.SZ"	"首航新能"	"6954"
"苏州天脉导热科技股份有限公司"	"A22171.SZ"	"苏州天脉"	"6955"
"福建省招标股份有限公司"	"301136.SZ"	"招标股份"	"6956"
"北京雅迪传媒股份有限公司"	"A20610.SZ"	"雅迪传媒(IPO终止)"	"6957"
"翱捷科技股份有限公司"	"688220.SH"	"翱捷科技-U"	"6958"
"北京颖泰嘉和生物科技股份有限公司"	"833819.BJ"	"颖泰生物"	"6959"
"十堰市泰祥实业股份有限公司"	"833874.BJ"	"泰祥股份"	"6960"
"翰博高新材料(合肥)股份有限公司"	"833994.BJ"	"翰博高新"	"6961"
"北京流金岁月传媒科技股份有限公司"	"834021.BJ"	"流金岁月"	"6962"
"恒拓开源信息科技股份有限公司"	"834415.BJ"	"恒拓开源"	"6963"
"三门三友科技股份有限公司"	"834475.BJ"	"三友科技"	"6964"
"陕西同力重工股份有限公司"	"834599.BJ"	"同力股份"	"6965"
"宁波球冠电缆股份有限公司"	"834682.BJ"	"球冠电缆"	"6966"
"深圳市美之高科技股份有限公司"	"834765.BJ"	"美之高"	"6967"
"湖南五新隧道智能装备股份有限公司"	"835174.BJ"	"五新隧装"	"6968"
"北京世纪国源科技股份有限公司"	"835184.BJ"	"国源科技"	"6969"
"贝特瑞新材料集团股份有限公司"	"835185.BJ"	"贝特瑞"	"6970"
"南京云创大数据科技股份有限公司"	"835305.BJ"	"云创数据"	"6971"
"大连连城数控机器股份有限公司"	"835368.BJ"	"连城数控"	"6972"
"北京殷图网联科技股份有限公司"	"835508.BJ"	"殷图网联"	"6973"
"中航富士达科技股份有限公司"	"835640.BJ"	"富士达"	"6974"
"山东数字人科技股份有限公司"	"835670.BJ"	"数字人"	"6975"
"苏州旭杰建筑科技股份有限公司"	"836149.BJ"	"旭杰科技"	"6976"
"四川长虹新能源科技股份有限公司"	"836239.BJ"	"长虹能源"	"6977"
"北京中航泰达环保科技股份有限公司"	"836263.BJ"	"中航泰达"	"6978"
"内蒙古大唐药业股份有限公司"	"836433.BJ"	"大唐药业"	"6979"
